$2018-10-19 to 2023-12-31 West Branch Delaware River inflow temp - degC,
29251,0.5
29252,1.6
29253,2.0
29254,2.7
29255,3.1
29256,3.0
29257,1.9
29258,1.7
29259,0.2
29260,0.8
29261,1.4
29262,2.6
29263,2.6
29264,2.5
29265,1.4
29266,0.0
29267,0.4
29268,0.9
29269,1.4
29270,1.9
29271,0.6
29272,0.3
29273,0.7
29274,1.3
29275,2.6
29276,3.9
29277,4.1
29278,2.6
29279,0.3
29280,0.2
29281,0.5
29282,2.4
29283,4.8
29284,4.3
29285,3.6
29286,2.9
29287,3.1
29288,3.1
29289,4.8
29290,6.0
29291,5.8
29292,5.4
29293,6.4
29294,5.1
29295,4.9
29296,4.2
29297,4.1
29298,4.7
29299,6.0
29300,7.9
29301,7.6
29302,5.3
29303,3.8
29304,3.4
29305,4.0
29306,5.5
29307,8.2
29308,6.3
29309,6.2
29310,7.2
29311,7.1
29312,6.7
29313,6.2
29314,6.5
29315,7.7
29316,8.9
29317,9.3
29318,9.8
29319,9.9
29320,7.8
29321,5.3
29322,5.1
29323,5.9
29324,8.8
29325,8.4
29326,7.2
29327,6.0
29328,5.2
29329,5.0
29330,6.4
29331,8.6
29332,6.7
29333,4.9
29334,4.5
29335,6.0
29336,8.8
29337,8.5
29338,5.0
29339,7.3
29340,8.4
29341,8.6
29342,9.5
29343,10.0
29344,12.1
29345,10.5
29346,9.0
29347,8.3
29348,8.8
29349,8.9
29350,6.7
29351,7.1
29352,8.1
29353,8.7
29354,9.4
29355,10.0
29356,13.5
29357,14.9
29358,14.5
29359,13.6
29360,13.8
29361,14.4
29362,14.6
29363,15.6
29364,16.2
29365,15.9
29366,16.5
29367,18.6
29368,19.9
29369,19.1
29370,19.7
29371,19.3
29372,16.4
29373,14.2
29374,13.7
29375,14.8
29376,18.0
29377,20.3
29378,20.7
29379,18.9
29380,18.3
29381,19.6
29382,21.4
29383,21.8
29384,20.6
29385,18.5
29386,16.6
29387,17.6
29388,19.4
29389,20.8
29390,21.8
29391,22.7
29392,23.3
29393,23.8
29394,24.9
29395,24.9
29396,24.2
29397,22.4
29398,22.3
29399,19.9
29400,20.3
29401,21.6
29402,21.4
29403,21.4
29404,23.0
29405,23.9
29406,24.4
29407,24.4
29408,25.2
29409,24.5
29410,24.7
29411,25.7
29412,25.2
29413,24.2
29414,24.1
29415,20.6
29416,20.83
29417,20.65
29418,21.0
29419,22.0
29420,21.08
29421,21.8
29422,22.32
29423,24.6
29424,25.2
29425,25.2
29426,25.2
29427,25.3
29428,25.9
29429,26.2
29430,25.2
29431,24.1
29432,24.0
29433,24.6
29434,24.6
29435,25.0
29436,25.0
29437,21.7
29438,19.9
29439,20.8
29440,19.3
29441,19.8
29442,20.8
29443,21.9
29444,22.6
29445,21.3
29446,20.6
29447,22.03
29448,21.1
29449,21.1
29450,21.6
29451,19.7
29452,19.2
29453,20.47
29454,20.43
29455,20.47
29456,19.63
29457,18.9
29458,20.17
29459,20.5
29460,20.0
29461,20.0
29462,20.4
29463,19.1
29464,18.4
29465,18.7
29466,18.7
29467,19.4
29468,19.7
29469,18.8
29470,19.3
29471,19.0
29472,19.9
29473,20.3
29474,20.6
29475,20.3
29476,18.8
29477,18.0
29478,17.7
29479,15.8
29480,15.3
29481,15.8
29482,16.6
29483,14.0
29484,13.1
29485,12.8
29486,13.0
29487,14.0
29488,15.1
29489,16.6
29490,17.0
29491,18.3
29492,19.1
29493,18.4
29494,14.9
29495,14.5
29496,13.6
29497,12.4
29498,11.3
29499,11.9
29500,12.9
29501,13.4
29502,12.0
29503,12.0
29504,13.5
29505,14.6
29506,13.5
29507,13.0
29508,12.7
29509,13.3
29510,13.0
29511,11.1
29512,9.7
29513,11.0
29514,12.3
29515,14.0
29516,16.0
29517,16.2
29518,15.3
29519,11.5
29520,10.7
29521,11.0
29522,10.2
29523,9.1
29524,7.5
29525,5.7
29526,5.7
29527,5.1
29528,5.1
29529,5.9
29530,7.5
29531,8.6
29532,8.6
29533,8.4
29534,8.0
29535,8.4
29536,11.0
29537,10.8
29538,8.0
29539,6.8
29540,5.7
29541,6.0
29542,5.1
29543,2.9
29544,2.4
29545,4.8
29546,6.1
29547,5.1
29548,5.9
29549,5.1
29550,4.7
29551,6.7
29552,7.9
29553,7.1
29554,5.0
29555,5.4
29556,7.0
29557,4.9
29558,3.4
29559,4.4
29560,5.0
29561,3.5
29562,2.7
29563,1.7
29564,1.1
29565,2.7
29566,3.0
29567,3.7
29568,5.5
29569,4.7
29570,2.4
29571,0.5
29572,0.1
29573,0.0
29574,0.0
29575,0.0
29576,0.1
29577,0.3
29578,0.5
29579,2.2
29580,2.16
29581,2.14
29582,2.74
29583,3.46
29584,3.8
29585,3.78
29586,3.58
29587,4.05
29588,3.68
29589,3.05
29590,3.32
29591,3.45
29592,2.98
29593,1.95
29594,1.48
29595,1.23
29596,1.03
29597,2.2
29598,3.6
29599,3.1
29600,2.13
29601,1.73
29602,1.27
29603,0.43
29604,0.87
29605,1.13
29606,1.1
29607,0.83
29608,0.7
29609,0.57
29610,0.7
29611,0.93
29612,1.2
29613,1.2
29614,1.33
29615,1.13
29616,1.17
29617,1.0
29618,0.77
29619,0.77
29620,0.93
29621,1.07
29622,1.03
29623,1.0
29624,0.9
29625,0.45
29626,1.25
29627,2.35
29628,2.35
29629,1.57
29630,1.7
29631,1.7
29632,1.53
29633,1.9
29634,2.27
29635,1.63
29636,1.37
29637,1.3
29638,1.67
29639,1.83
29640,2.53
29641,2.2
29642,1.53
29643,1.77
29644,1.83
29645,0.75
29646,1.07
29647,2.63
29648,3.37
29649,2.2
29650,2.47
29651,3.43
29652,3.53
29653,2.67
29654,2.22
29655,3.7
29656,4.7
29657,4.5
29658,3.2
29659,2.6
29660,1.0
29661,0.8
29662,2.2
29663,3.1
29664,2.4
29665,3.1
29666,4.4
29667,5.3
29668,6.1
29669,6.5
29670,8.5
29671,10.3
29672,8.4
29673,7.6
29674,6.5
29675,6.2
29676,7.8
29677,6.7
29678,3.9
29679,3.9
29680,6.0
29681,7.1
29682,7.8
29683,9.0
29684,10.7
29685,11.1
29686,12.5
29687,12.6
29688,10.6
29689,10.6
29690,10.8
29691,9.9
29692,8.2
29693,7.5
29694,8.0
29695,8.5
29696,9.4
29697,8.2
29698,5.4
29699,6.6
29700,9.3
29701,10.3
29702,9.4
29703,10.4
29704,12.6
29705,12.7
29706,11.1
29707,8.6
29708,10.7
29709,10.9
29710,12.0
29711,12.5
29712,11.4
29713,10.8
29714,10.0
29715,9.4
29716,9.3
29717,9.4
29718,9.8
29719,10.3
29720,11.4
29721,11.9
29722,12.7
29723,13.7
29724,14.8
29725,16.1
29726,17.5
29727,18.4
29728,18.6
29729,18.4
29730,17.9
29731,18.9
29732,20.3
29733,19.7
29734,15.7
29735,11.2
29736,10.3
29737,11.7
29738,13.7
29739,14.6
29740,15.2
29741,16.5
29742,18.3
29743,19.7
29744,20.3
29745,20.0
29746,20.1
29747,21.3
29748,20.5
29749,19.9
29750,19.8
29751,20.5
29752,18.8
29753,18.1
29754,17.9
29755,18.2
29756,19.6
29757,20.7
29758,23.2
29759,20.5
29760,18.0
29761,20.23
29762,20.85
29763,21.1
29764,20.02
29765,19.73
29766,20.12
29767,20.5
29768,22.6
29769,20.7
29770,19.5
29771,19.0
29772,20.6
29773,21.5
29774,22.4
29775,21.4
29776,20.8
29777,20.5
29778,18.9
29779,17.4
29780,18.3
29781,18.9
29782,19.6
29783,20.0
29784,20.3
29785,19.1
29786,19.1
29787,19.4
29788,18.3
29789,17.6
29790,17.4
29791,17.8
29792,18.6
29793,19.3
29794,19.5
29795,19.6
29796,18.0
29797,18.1
29798,17.9
29799,17.1
29800,17.3
29801,17.7
29802,18.0
29803,18.6
29804,20.0
29805,20.8
29806,21.8
29807,22.5
29808,22.8
29809,23.0
29810,23.7
29811,24.3
29812,22.8
29813,21.0
29814,21.0
29815,20.6
29816,20.8
29817,21.1
29818,21.0
29819,20.8
29820,20.6
29821,19.8
29822,19.9
29823,20.0
29824,20.7
29825,20.8
29826,20.0
29827,19.7
29828,20.6
29829,20.4
29830,18.6
29831,16.7
29832,16.2
29833,16.9
29834,16.8
29835,17.1
29836,17.3
29837,17.8
29838,17.9
29839,17.0
29840,16.6
29841,17.1
29842,18.5
29843,18.5
29844,19.6
29845,18.5
29846,18.5
29847,18.7
29848,18.1
29849,17.0
29850,16.8
29851,17.7
29852,18.2
29853,16.6
29854,14.9
29855,14.8
29856,14.7
29857,15.1
29858,13.6
29859,13.0
29860,12.3
29861,12.7
29862,13.4
29863,14.0
29864,14.8
29865,15.6
29866,15.5
29867,15.4
29868,15.2
29869,15.3
29870,15.5
29871,15.4
29872,15.5
29873,15.7
29874,15.8
29875,16.6
29876,14.0
29877,11.8
29878,10.9
29879,11.8
29880,12.7
29881,12.7
29882,10.7
29883,10.2
29884,11.8
29885,12.4
29886,11.6
29887,10.6
29888,10.0
29889,10.2
29890,10.9
29891,10.3
29892,8.5
29893,7.2
29894,6.3
29895,5.6
29896,5.5
29897,5.2
29898,5.6
29899,6.5
29900,7.9
29901,6.8
29902,9.0
29903,7.6
29904,6.2
29905,6.1
29906,5.5
29907,5.0
29908,7.1
29909,6.7
29910,4.7
29911,5.0
29912,5.6
29913,3.9
29914,2.9
29915,3.4
29916,4.4
29917,3.1
29918,2.5
29919,2.7
29920,2.0
29921,3.0
29922,4.2
29923,4.0
29924,3.2
29925,3.0
29926,4.8
29927,4.1
29928,2.9
29929,2.1
29930,2.6
29931,4.4
29932,4.9
29933,3.5
29934,3.4
29935,3.0
29936,5.5
29937,6.5
29938,4.7
29939,3.6
29940,1.5
29941,1.4
29942,1.8
29943,1.1
29944,1.0
29945,2.6
29946,3.3
29947,2.3
29948,2.7
29949,3.3
29950,4.1
29951,5.0
29952,5.7
29953,5.9
29954,2.5
29955,0.3
29956,0.6
29957,1.2
29958,0.7
29959,0.0
29960,0.0
29961,0.0
29962,0.1
29963,0.1
29964,0.0
29965,0.1
29966,0.1
29967,0.1
29968,0.1
29969,0.0
29970,0.1
29971,0.0
29972,0.0
29973,0.0
29974,0.0
29975,0.0
29976,0.1
29977,0.0
29978,0.0
29979,0.1
29980,0.0
29981,0.0
29982,0.0
29983,0.0
29984,0.1
29985,0.1
29986,0.0
29987,0.0
29988,1.0
29989,0.9
29990,0.45
29991,1.25
29992,2.35
29993,2.35
29994,0.5
29995,0.2
29996,0.0
29997,0.0
29998,0.0
29999,0.3
30000,0.6
30001,0.0
30002,0.1
30003,1.0
30004,2.5
30005,3.6
30006,1.2
30007,0.3
30008,0.4
30009,1.0
30010,0.8
30011,0.7
30012,2.3
30013,2.1
30014,0.8
30015,1.0
30016,3.6
30017,4.1
30018,2.9
30019,1.7
30020,2.6
30021,3.1
30022,2.1
30023,0.5
30024,2.3
30025,4.0
30026,5.5
30027,6.0
30028,7.2
30029,8.7
30030,7.7
30031,6.0
30032,5.6
30033,4.6
30034,5.7
30035,7.0
30036,6.1
30037,4.5
30038,1.6
30039,1.3
30040,1.5
30041,4.2
30042,6.0
30043,4.8
30044,4.6
30045,4.4
30046,6.1
30047,7.8
30048,7.5
30049,7.2
30050,6.8
30051,5.8
30052,6.2
30053,9.2
30054,9.7
30055,11.3
30056,10.4
30057,9.3
30058,7.3
30059,6.3
30060,4.0
30061,5.6
30062,6.5
30063,8.1
30064,8.1
30065,9.7
30066,11.5
30067,10.9
30068,8.5
30069,7.5
30070,8.1
30071,9.1
30072,10.4
30073,11.3
30074,12.1
30075,11.9
30076,12.6
30077,12.1
30078,10.7
30079,11.2
30080,12.7
30081,13.8
30082,14.9
30083,15.8
30084,17.2
30085,18.4
30086,18.4
30087,17.3
30088,15.0
30089,14.7
30090,13.8
30091,14.6
30092,18.5
30093,20.2
30094,18.4
30095,17.1
30096,16.9
30097,16.8
30098,18.2
30099,17.15
30100,16.35
30101,16.22
30102,16.2
30103,16.35
30104,19.1
30105,19.5
30106,17.53
30107,18.53
30108,18.38
30109,18.2
30110,18.7
30111,17.3
30112,17.0
30113,17.3
30114,17.4
30115,18.9
30116,19.7
30117,21.0
30118,20.2
30119,20.6
30120,17.4
30121,15.9
30122,17.1
30123,17.0
30124,17.9
30125,16.1
30126,18.0
30127,20.0
30128,21.3
30129,21.8
30130,20.1
30131,19.8
30132,21.0
30133,22.0
30134,21.5
30135,21.3
30136,21.0
30137,20.4
30138,21.0
30139,21.2
30140,22.6
30141,21.8
30142,20.0
30143,20.97
30144,20.73
30145,22.2
30146,22.4
30147,21.7
30148,22.0
30149,22.7
30150,22.8
30151,24.1
30152,25.1
30153,25.4
30154,23.7
30155,20.75
30156,21.5
30157,21.95
30158,20.6
30159,20.9
30160,22.8
30161,23.5
30162,21.3
30163,20.3
30164,20.9
30165,21.18
30166,21.58
30167,20.68
30168,24.1
30169,23.7
30170,25.0
30171,24.6
30172,21.32
30173,21.12
30174,21.28
30175,21.38
30176,21.75
30177,22.03
30178,21.1
30179,21.1
30180,21.6
30181,19.7
30182,19.2
30183,20.47
30184,20.43
30185,20.47
30186,19.63
30187,18.9
30188,20.8
30189,22.1
30190,19.93
30191,20.0
30192,19.52
30193,19.7
30194,21.1
30195,19.7
30196,17.7
30197,18.8
30198,21.1
30199,19.7
30200,18.9
30201,18.2
30202,18.8
30203,19.3
30204,19.7
30205,19.2
30206,19.9
30207,19.2
30208,17.6
30209,16.9
30210,15.7
30211,16.8
30212,17.9
30213,15.98
30214,15.3
30215,15.42
30216,17.7
30217,14.5
30218,13.1
30219,13.7
30220,14.2
30221,13.7
30222,13.6
30223,13.2
30224,12.7
30225,12.9
30226,12.6
30227,11.6
30228,11.2
30229,11.6
30230,12.6
30231,13.4
30232,11.4
30233,10.2
30234,10.7
30235,11.2
30236,11.7
30237,12.8
30238,12.5
30239,11.2
30240,11.1
30241,10.0
30242,9.3
30243,8.0
30244,7.9
30245,7.8
30246,8.3
30247,8.9
30248,10.8
30249,12.9
30250,14.5
30251,12.9
30252,10.2
30253,8.9
30254,7.8
30255,8.3
30256,10.6
30257,11.4
30258,10.2
30259,9.9
30260,12.6
30261,14.8
30262,14.4
30263,9.7
30264,6.7
30265,7.2
30266,9.7
30267,12.3
30268,9.9
30269,6.8
30270,5.4
30271,5.0
30272,5.0
30273,4.2
30274,3.2
30275,2.0
30276,1.3
30277,2.2
30278,3.0
30279,3.0
30280,4.2
30281,4.7
30282,4.3
30283,5.5
30284,4.6
30285,4.4
30286,3.9
30287,2.9
30288,4.2
30289,4.0
30290,2.5
30291,3.6
30292,6.8
30293,7.1
30294,5.1
30295,3.0
30296,2.7
30297,2.8
30298,1.1
30299,0.5
30300,0.3
30301,1.6
30302,2.4
30303,2.3
30304,1.9
30305,1.6
30306,1.1
30307,1.1
30308,2.2
30309,0.0
30310,0.0
30311,0.0
30312,0.3
30313,1.0
30314,1.7
30315,3.3
30316,3.6
30317,4.6
30318,4.6
30319,4.4
30320,6.4
30321,7.2
30322,5.7
30323,4.6
30324,3.3
30325,2.4
30326,2.6
30327,2.5
30328,2.8
30329,4.4
30330,2.4
30331,0.8
30332,0.4
30333,0.5
30334,2.3
30335,3.2
30336,3.1
30337,2.4
30338,2.1
30339,1.7
30340,1.6
30341,1.6
30342,2.4
30343,1.7
30344,2.0
30345,2.1
30346,3.1
30347,2.5
30348,0.7
30349,0.2
30350,0.0
30351,0.1
30352,0.1
30353,0.1
30354,0.1
30355,0.7
30356,1.7
30357,3.3
30358,2.1
30359,1.6
30360,2.4
30361,3.7
30362,4.6
30363,5.3
30364,5.6
30365,2.9
30366,2.2
30367,3.2
30368,3.7
30369,2.3
30370,2.7
30371,2.8
30372,0.4
30373,0.8
30374,1.9
30375,1.7
30376,2.0
30377,3.2
30378,3.2
30379,1.5
30380,2.8
30381,3.8
30382,3.4
30383,2.0
30384,2.3
30385,2.6
30386,2.5
30387,2.5
30388,3.8
30389,2.1
30390,1.1
30391,2.1
30392,3.4
30393,3.7
30394,1.9
30395,2.2
30396,3.9
30397,5.3
30398,5.2
30399,4.2
30400,3.4
30401,4.7
30402,4.8
30403,5.3
30404,5.0
30405,4.5
30406,3.4
30407,6.4
30408,6.6
30409,5.6
30410,8.5
30411,9.3
30412,10.0
30413,7.7
30414,6.1
30415,7.1
30416,8.0
30417,8.9
30418,11.6
30419,13.4
30420,14.6
30421,9.42
30422,7.65
30423,7.15
30424,10.2
30425,7.5
30426,8.8
30427,12.8
30428,14.4
30429,12.3
30430,10.0
30431,9.0
30432,8.2
30433,9.4
30434,10.2
30435,9.8
30436,9.9
30437,9.7
30438,9.3
30439,8.9
30440,9.2
30441,9.9
30442,11.0
30443,11.7
30444,13.5
30445,12.8
30446,12.4
30447,13.4
30448,15.1
30449,15.7
30450,14.8
30451,13.9
30452,14.0
30453,13.8
30454,12.8
30455,13.8
30456,14.4
30457,14.2
30458,15.2
30459,16.2
30460,16.1
30461,15.2
30462,15.7
30463,16.8
30464,18.6
30465,19.6
30466,19.8
30467,20.0
30468,20.6
30469,20.5
30470,20.6
30471,18.1
30472,17.0
30473,16.0
30474,14.4
30475,14.3
30476,15.2
30477,16.4
30478,18.4
30479,19.7
30480,18.3
30481,16.9
30482,16.8
30483,16.3
30484,16.8
30485,17.3
30486,19.3
30487,20.6
30488,20.0
30489,20.0
30490,20.8
30491,21.5
30492,22.6
30493,21.1
30494,18.2
30495,17.7
30496,18.1
30497,19.4
30498,20.5
30499,19.7
30500,19.2
30501,19.9
30502,20.8
30503,21.5
30504,21.2
30505,21.2
30506,19.5
30507,18.9
30508,19.8
30509,20.7
30510,21.3
30511,21.2
30512,20.65
30513,21.0
30514,22.0
30515,20.7
30516,20.8
30517,20.6
30518,20.8
30519,20.6
30520,20.3
30521,21.5
30522,21.95
30523,21.98
30524,21.2
30525,22.1
30526,22.1
30527,20.0
30528,19.1
30529,18.7
30530,18.8
30531,18.9
30532,19.2
30533,19.3
30534,20.4
30535,21.7
30536,22.3
30537,19.7
30538,19.3
30539,19.3
30540,19.4
30541,20.2
30542,20.3
30543,19.3
30544,19.9
30545,20.6
30546,18.6
30547,17.3
30548,16.9
30549,17.5
30550,18.1
30551,18.3
30552,17.5
30553,20.17
30554,20.7
30555,19.93
30556,20.0
30557,18.1
30558,19.7
30559,19.85
30560,18.0
30561,18.4
30562,20.0
30563,19.4
30564,18.6
30565,22.6
30566,17.9
30567,18.45
30568,18.82
30569,18.98
30570,19.2
30571,19.02
30572,19.3
30573,17.9
30574,16.6
30575,16.3
30576,15.7
30577,15.6
30578,15.4
30579,14.9
30580,14.9
30581,14.9
30582,13.9
30583,13.6
30584,13.8
30585,13.5
30586,13.3
30587,13.6
30588,14.4
30589,15.0
30590,16.0
30591,16.2
30592,16.5
30593,17.6
30594,17.5
30595,17.4
30596,16.0
30597,13.1
30598,11.6
30599,11.1
30600,11.3
30601,11.7
30602,11.1
30603,10.0
30604,10.1
30605,10.9
30606,11.2
30607,11.3
30608,11.1
30609,12.1
30610,12.2
30611,10.4
30612,9.4
30613,9.1
30614,9.8
30615,11.6
30616,13.0
30617,13.3
30618,11.2
30619,10.2
30620,8.8
30621,7.1
30622,6.1
30623,6.5
30624,7.4
30625,8.2
30626,7.1
30627,8.1
30628,7.6
30629,7.0
30630,6.4
30631,5.7
30632,5.2
30633,4.1
30634,4.8
30635,4.6
30636,4.8
30637,5.7
30638,7.0
30639,4.9
30640,3.7
30641,2.3
30642,4.0
30643,5.2
30644,4.7
30645,3.0
30646,2.6
30647,4.0
30648,2.8
30649,1.5
30650,1.9
30651,3.0
30652,5.0
30653,5.9
30654,5.8
30655,4.8
30656,3.5
30657,2.7
30658,3.5
30659,4.5
30660,6.2
30661,4.5
30662,3.3
30663,3.0
30664,2.4
30665,2.0
30666,2.9
30667,4.5
30668,6.0
30669,4.4
30670,3.0
30671,3.2
30672,1.9
30673,2.4
30674,3.7
30675,4.8
30676,4.7
30677,6.0
30678,7.0
30679,7.2
30680,5.8
30681,4.2
