$2018-10-19 to 2023-12-31 West Branch Delaware River inflow temp - degC,
,
JDAY,TIN
28782,7.4
28783,9.2
28784,8.3
28785,7.2
28786,8.1
28787,8.3
28788,7.2
28789,6.6
28790,6.8
28791,6.9
28792,7.6
28793,7.4
28794,7.2
28795,9.3
28796,10.5
28797,10.2
28798,8.1
28799,7.5
28800,8.5
28801,8.8
28802,7.2
28803,5.6
28804,5.4
28805,4.5
28806,4.3
28807,4.8
28808,3.8
28809,2.4
28810,2.1
28811,3.8
28812,4.0
28813,4.2
28814,4.5
28815,3.5
28816,0.6
28817,0.0
28818,0.5
28819,2.4
28820,3.6
28821,3.5
28822,2.8
28823,3.2
28824,3.7
28825,4.2
28826,4.9
28827,5.1
28828,3.8
28829,1.7
28830,1.6
28831,1.8
28832,0.5
28833,0.7
28834,1.1
28835,0.5
28836,1.2
28837,1.3
28838,2.8
28839,4.3
28840,3.9
28841,3.4
28842,1.5
28843,0.5
28844,0.9
28845,4.7
28846,5.0
28847,2.7
28848,2.8
28849,2.5
28850,1.3
28851,2.1
28852,3.3
28853,4.6
28854,2.8
28855,2.1
28856,3.7
28857,2.9
28858,2.5
28859,2.4
28860,3.1
28861,3.1
28862,0.9
28863,1.2
28864,2.3
28865,1.03
28866,2.2
28867,3.6
28868,3.1
28869,2.13
28870,1.73
28871,1.27
28872,0.43
28873,0.87
28874,1.13
28875,1.1
28876,0.83
28877,0.7
28878,0.57
28879,0.7
28880,0.93
28881,1.2
28882,1.2
28883,1.33
28884,1.13
28885,1.17
28886,1.0
28887,0.77
28888,0.77
28889,0.93
28890,1.07
28891,1.03
28892,1.0
28893,0.9
28894,0.45
28895,1.25
28896,2.35
28897,2.35
28898,1.57
28899,1.7
28900,1.7
28901,1.53
28902,1.9
28903,2.27
28904,1.63
28905,1.37
28906,1.3
28907,1.67
28908,1.83
28909,2.53
28910,2.2
28911,1.53
28912,1.77
28913,1.83
28914,0.75
28915,1.07
28916,2.63
28917,3.37
28918,2.2
28919,2.47
28920,3.43
28921,3.53
28922,2.67
28923,0.1
28924,0.1
28925,1.9
28926,1.8
28927,1.9
28928,4.5
28929,5.1
28930,3.7
28931,2.0
28932,1.6
28933,2.2
28934,3.3
28935,4.1
28936,2.7
28937,1.9
28938,2.4
28939,4.0
28940,3.5
28941,3.6
28942,4.6
28943,5.7
28944,6.3
28945,6.7
28946,3.6
28947,3.6
28948,5.3
28949,5.3
28950,3.7
28951,4.2
28952,6.8
28953,9.5
28954,10.1
28955,7.8
28956,5.5
28957,6.9
28958,11.0
28959,11.1
28960,10.2
28961,7.1
28962,8.6
28963,9.4
28964,11.0
28965,12.9
28966,11.9
28967,10.9
28968,11.4
28969,11.3
28970,10.2
28971,11.4
28972,9.2
28973,7.1
28974,7.4
28975,8.5
28976,8.6
28977,10.4
28978,11.9
28979,12.5
28980,12.5
28981,12.5
28982,12.4
28983,13.0
28984,12.0
28985,12.4
28986,13.5
28987,11.1
28988,8.2
28989,7.9
28990,9.3
28991,11.4
28992,12.2
28993,12.8
28994,15.2
28995,16.5
28996,14.4
28997,13.2
28998,14.5
28999,13.9
29000,13.8
29001,15.8
29002,16.9
29003,15.2
29004,14.9
29005,15.5
29006,16.7
29007,16.9
29008,17.0
29009,15.5
29010,17.53
29011,18.53
29012,17.1
29013,17.9
29014,17.82
29015,18.05
29016,19.02
29017,17.0
29018,16.9
29019,16.0
29020,14.8
29021,15.1
29022,15.6
29023,16.4
29024,16.4
29025,16.9
29026,17.7
29027,17.3
29028,16.7
29029,17.2
29030,17.2
29031,18.4
29032,19.7
29033,20.2
29034,20.8
29035,21.0
29036,20.2
29037,19.8
29038,19.6
29039,20.98
29040,21.08
29041,21.55
29042,22.3
29043,22.32
29044,22.48
29045,21.95
29046,21.15
29047,20.97
29048,20.73
29049,20.6
29050,20.83
29051,20.65
29052,21.0
29053,23.0
29054,21.7
29055,23.2
29056,24.2
29057,25.4
29058,22.1
29059,20.1
29060,21.5
29061,21.95
29062,22.1
29063,23.1
29064,23.5
29065,24.4
29066,25.1
29067,23.2
29068,23.2
29069,23.6
29070,24.7
29071,23.8
29072,22.5
29073,21.8
29074,21.7
29075,23.0
29076,22.3
29077,20.5
29078,20.2
29079,21.1
29080,21.9
29081,23.0
29082,23.0
29083,22.4
29084,23.6
29085,19.7
29086,19.2
29087,23.5
29088,23.0
29089,22.7
29090,20.8
29091,19.3
29092,19.7
29093,19.5
29094,19.0
29095,20.0
29096,19.9
29097,19.4
29098,19.5
29099,17.8
29100,18.6
29101,19.3
29102,19.9
29103,19.1
29104,18.1
29105,17.1
29106,17.3
29107,17.8
29108,18.6
29109,20.7
29110,20.3
29111,18.3
29112,17.0
29113,18.2
29114,19.1
29115,17.9
29116,17.1
29117,16.4
29118,16.2
29119,17.2
29120,17.8
29121,19.2
29122,18.1
29123,17.1
29124,16.8
29125,16.4
29126,17.5
29127,19.0
29128,16.8
29129,17.4
29130,19.4
29131,15.6
29132,13.0
29133,11.8
29134,11.9
29135,13.6
29136,13.5
29137,13.0
29138,13.3
29139,12.5
29140,13.08
29141,12.3
29142,12.72
29143,12.6
29144,12.9
29145,9.7
29146,9.0
29147,8.9
29148,8.6
29149,9.8
29150,10.5
29151,10.8
29152,9.4
29153,9.4
29154,10.4
29155,10.8
29156,11.4
29157,11.5
29158,11.9
29159,13.1
29160,11.5
29161,8.3
29162,7.2
29163,6.8
29164,7.8
29165,7.4
29166,6.8
29167,5.1
29168,3.4
29169,4.0
29170,5.6
29171,4.9
29172,2.1
29173,1.7
29174,2.8
29175,2.9
29176,2.0
29177,3.0
29178,4.0
29179,3.6
29180,4.4
29181,5.1
29182,3.9
29183,3.6
29184,3.8
29185,4.2
29186,4.9
29187,5.0
29188,3.0
29189,2.2
29190,0.8
29191,0.7
29192,1.2
29193,1.5
29194,2.4
29195,1.9
29196,1.3
29197,0.4
29198,1.4
29199,3.2
29200,2.5
29201,1.0
29202,1.6
29203,4.2
29204,3.7
29205,1.9
29206,1.4
29207,1.2
29208,0.1
29209,0.1
29210,0.1
29211,0.1
29212,0.4
29213,1.1
29214,0.9
29215,1.4
29216,3.0
29217,3.3
29218,2.2
29219,2.9
29220,3.0
29221,2.2
29222,1.3
29223,2.8
29224,4.2
29225,2.9
29226,1.9
29227,1.6
29228,1.4
29229,0.2
29230,0.5
29231,4.0
29232,7.9
29233,4.9
29234,3.9
29235,4.3
29236,3.3
29237,0.7
29238,0.3
29239,0.1
29240,0.2
29241,0.1
29242,0.0
29243,0.0
29244,0.5
29245,1.1
29246,1.2
29247,1.9
29248,1.9
29249,1.3
29250,0.4
