$2018-10-19 to 2023-12-31 West Branch Delaware River inflows - m3/s (proportional estimate),
29197,15.89
29198,23.37
29199,121.17
29200,122.19
29201,76.33
29202,59.5
29203,67.83
29204,78.86
29205,55.15
29206,49.8
29207,44.02
29208,33.54
29209,29.39
29210,26.42
29211,26.31
29212,24.93
29213,25.87
29214,22.27
29215,19.95
29216,22.48
29217,30.12
29218,25.18
29219,43.81
29220,46.52
29221,41.51
29222,37.15
29223,35.21
29224,37.12
29225,35.05
29226,30.51
29227,28.17
29228,25.45
29229,20.92
29230,21.33
29231,28.2
29232,37.89
29233,33.58
29234,30.68
29235,29.63
29236,30.12
29237,25.99
29238,18.95
29239,21.08
29240,18.74
29241,16.51
29242,15.92
29243,15.95
29244,16.53
29245,22.65
29246,38.67
29247,29.35
29248,26.41
29249,23.38
29250,18.03
29251,18.64
29252,19.66
29253,19.31
29254,18.3
29255,17.75
29256,20.19
29257,21.31
29258,73.07
29259,75.8
29260,54.48
29261,50.61
29262,48.32
29263,45.94
29264,41.37
29265,36.63
29266,25.71
29267,28.42
29268,27.81
29269,25.49
29270,28.27
29271,22.42
29272,17.57
29273,16.75
29274,16.8
29275,18.32
29276,22.33
29277,27.46
29278,62.97
29279,48.42
29280,41.54
29281,36.97
29282,37.3
29283,48.57
29284,62.81
29285,52.65
29286,48.2
29287,42.71
29288,36.71
29289,33.85
29290,33.27
29291,38.41
29292,34.67
29293,38.13
29294,37.27
29295,32.3
29296,29.39
29297,28.18
29298,26.23
29299,33.45
29300,35.38
29301,33.75
29302,29.5
29303,29.53
29304,31.2
29305,30.44
29306,29.71
29307,27.57
29308,27.15
29309,41.76
29310,40.26
29311,46.74
29312,42.85
29313,39.43
29314,37.56
29315,38.0
29316,32.74
29317,29.55
29318,26.91
29319,29.21
29320,33.36
29321,39.52
29322,33.46
29323,30.5
29324,50.65
29325,70.49
29326,54.05
29327,49.66
29328,44.89
29329,43.95
29330,42.37
29331,37.89
29332,34.96
29333,35.56
29334,31.37
29335,30.45
29336,28.36
29337,35.28
29338,72.08
29339,70.66
29340,65.04
29341,59.63
29342,133.41
29343,99.17
29344,76.88
29345,61.53
29346,50.81
29347,43.04
29348,37.71
29349,34.19
29350,32.35
29351,30.73
29352,28.8
29353,25.12
29354,21.67
29355,19.53
29356,22.17
29357,45.26
29358,31.3
29359,29.48
29360,28.43
29361,25.31
29362,22.65
29363,20.86
29364,40.84
29365,30.08
29366,24.72
29367,21.37
29368,18.39
29369,16.59
29370,16.85
29371,20.77
29372,15.72
29373,11.67
29374,10.62
29375,10.75
29376,10.23
29377,8.62
29378,7.82
29379,7.18
29380,6.43
29381,5.92
29382,5.74
29383,11.71
29384,9.4
29385,6.42
29386,5.57
29387,5.18
29388,4.8
29389,4.5
29390,4.27
29391,4.01
29392,3.8
29393,3.54
29394,3.28
29395,3.1
29396,4.28
29397,4.26
29398,3.66
29399,4.0
29400,5.04
29401,6.9
29402,5.55
29403,5.13
29404,4.64
29405,4.07
29406,3.64
29407,3.29
29408,2.85
29409,2.6
29410,2.83
29411,2.99
29412,3.15
29413,5.41
29414,4.55
29415,3.45
29416,2.99
29417,2.61
29418,2.36
29419,2.23
29420,2.14
29421,2.03
29422,2.08
29423,2.05
29424,1.93
29425,1.85
29426,1.77
29427,1.72
29428,1.55
29429,1.7
29430,2.42
29431,2.25
29432,2.43
29433,2.22
29434,1.88
29435,1.64
29436,1.48
29437,24.31
29438,45.99
29439,12.67
29440,45.25
29441,26.45
29442,16.35
29443,11.79
29444,12.03
29445,27.8
29446,15.55
29447,11.68
29448,9.55
29449,7.92
29450,6.93
29451,7.01
29452,5.93
29453,5.27
29454,4.7
29455,4.35
29456,4.0
29457,3.74
29458,4.16
29459,5.15
29460,5.42
29461,17.01
29462,10.48
29463,16.33
29464,10.03
29465,8.07
29466,9.16
29467,12.26
29468,9.33
29469,7.4
29470,6.62
29471,6.04
29472,5.38
29473,4.77
29474,5.07
29475,7.22
29476,5.36
29477,4.5
29478,4.14
29479,3.8
29480,3.52
29481,3.35
29482,3.16
29483,2.98
29484,2.81
29485,2.69
29486,2.56
29487,2.5
29488,2.38
29489,2.32
29490,2.26
29491,2.19
29492,2.2
29493,2.43
29494,32.14
29495,17.45
29496,9.84
29497,7.79
29498,6.68
29499,6.03
29500,5.55
29501,5.17
29502,5.35
29503,4.99
29504,4.5
29505,4.26
29506,4.08
29507,3.87
29508,3.8
29509,3.71
29510,3.79
29511,4.06
29512,3.93
29513,3.62
29514,3.68
29515,3.57
29516,3.41
29517,3.27
29518,3.16
29519,3.06
29520,3.08
29521,3.24
29522,4.47
29523,12.31
29524,38.42
29525,26.32
29526,22.28
29527,24.64
29528,21.12
29529,19.18
29530,16.68
29531,14.94
29532,13.48
29533,12.02
29534,10.79
29535,9.82
29536,11.04
29537,15.72
29538,11.98
29539,10.64
29540,10.11
29541,15.26
29542,13.07
29543,11.7
29544,10.64
29545,10.78
29546,10.27
29547,9.45
29548,17.49
29549,18.87
29550,15.2
29551,18.01
29552,19.76
29553,17.99
29554,16.65
29555,21.93
29556,40.31
29557,32.64
29558,29.28
29559,27.38
29560,25.5
29561,22.97
29562,20.09
29563,17.9
29564,16.16
29565,15.73
29566,14.73
29567,14.52
29568,15.11
29569,13.63
29570,12.42
29571,9.91
29572,4.83
29573,8.72
29574,10.52
29575,11.52
29576,11.58
29577,11.24
29578,11.25
29579,37.08
29580,479.59
29581,240.94
29582,105.87
29583,74.98
29584,59.11
29585,46.34
29586,44.29
29587,37.91
29588,52.08
29589,48.08
29590,39.36
29591,35.6
29592,32.47
29593,29.05
29594,26.28
29595,20.33
29596,19.04
29597,18.67
29598,19.21
29599,17.58
29600,16.14
29601,15.48
29602,17.6
29603,17.47
29604,15.31
29605,13.97
29606,12.55
29607,9.71
29608,9.68
29609,8.23
29610,7.2
29611,7.57
29612,7.57
29613,7.48
29614,6.8
29615,6.06
29616,7.12
29617,7.76
29618,7.94
29619,7.87
29620,8.14
29621,7.84
29622,7.25
29623,6.69
29624,5.92
29625,5.42
29626,6.13
29627,6.1
29628,5.69
29629,4.76
29630,5.66
29631,6.08
29632,5.74
29633,9.17
29634,15.52
29635,14.23
29636,13.6
29637,12.87
29638,11.7
29639,9.92
29640,11.63
29641,12.02
29642,14.23
29643,13.08
29644,13.38
29645,15.63
29646,22.95
29647,26.35
29648,23.59
29649,23.71
29650,18.54
29651,18.21
29652,16.48
29653,13.98
29654,16.74
29655,21.61
29656,45.08
29657,101.02
29658,86.77
29659,70.02
29660,52.98
29661,45.22
29662,41.2
29663,58.23
29664,74.42
29665,50.86
29666,48.27
29667,46.9
29668,46.22
29669,51.89
29670,69.1
29671,69.32
29672,60.12
29673,55.86
29674,64.03
29675,47.41
29676,42.31
29677,52.15
29678,45.44
29679,38.45
29680,36.59
29681,32.95
29682,29.7
29683,27.16
29684,24.81
29685,22.6
29686,20.82
29687,19.41
29688,22.02
29689,23.21
29690,18.98
29691,19.41
29692,28.35
29693,29.4
29694,25.73
29695,23.98
29696,22.85
29697,22.54
29698,22.58
29699,21.47
29700,19.09
29701,17.88
29702,16.68
29703,15.12
29704,14.34
29705,41.26
29706,94.22
29707,67.08
29708,54.83
29709,54.62
29710,57.29
29711,63.68
29712,64.84
29713,52.45
29714,50.42
29715,49.51
29716,63.06
29717,49.1
29718,43.08
29719,38.59
29720,34.45
29721,30.32
29722,26.98
29723,23.84
29724,21.0
29725,18.34
29726,16.15
29727,14.37
29728,12.82
29729,11.93
29730,11.19
29731,9.97
29732,9.9
29733,12.31
29734,11.74
29735,30.93
29736,22.4
29737,27.62
29738,18.28
29739,15.36
29740,15.76
29741,30.99
29742,22.17
29743,16.96
29744,14.49
29745,13.6
29746,24.98
29747,16.67
29748,12.74
29749,11.15
29750,10.46
29751,12.81
29752,13.86
29753,10.9
29754,8.89
29755,7.77
29756,7.29
29757,7.25
29758,6.73
29759,8.54
29760,7.9
29761,6.24
29762,5.37
29763,4.89
29764,4.53
29765,4.17
29766,3.81
29767,5.98
29768,12.73
29769,14.98
29770,17.22
29771,14.49
29772,10.06
29773,8.63
29774,8.24
29775,14.77
29776,19.93
29777,17.68
29778,20.28
29779,142.29
29780,92.15
29781,67.0
29782,49.46
29783,37.45
29784,32.6
29785,70.07
29786,42.41
29787,33.9
29788,79.02
29789,45.7
29790,35.79
29791,30.19
29792,27.28
29793,23.95
29794,19.86
29795,22.76
29796,16.85
29797,15.41
29798,13.05
29799,13.89
29800,20.46
29801,13.06
29802,10.61
29803,9.49
29804,8.51
29805,7.71
29806,7.09
29807,6.65
29808,6.15
29809,5.79
29810,5.96
29811,7.67
29812,6.87
29813,5.53
29814,4.8
29815,5.19
29816,5.39
29817,10.28
29818,14.19
29819,33.95
29820,21.13
29821,74.73
29822,49.34
29823,34.79
29824,27.69
29825,23.72
29826,21.66
29827,17.81
29828,15.89
29829,14.39
29830,16.2
29831,40.9
29832,23.64
29833,18.81
29834,16.84
29835,21.74
29836,16.84
29837,14.25
29838,22.25
29839,17.78
29840,13.88
29841,12.23
29842,13.09
29843,12.83
29844,16.49
29845,39.4
29846,24.46
29847,21.19
29848,18.47
29849,15.84
29850,14.07
29851,12.81
29852,31.46
29853,121.28
29854,63.85
29855,48.56
29856,38.67
29857,32.89
29858,27.8
29859,23.68
29860,20.43
29861,17.92
29862,16.07
29863,27.23
29864,43.32
29865,27.33
29866,23.43
29867,21.54
29868,19.99
29869,18.36
29870,16.97
29871,15.66
29872,14.57
29873,14.32
29874,13.38
29875,21.05
29876,48.92
29877,31.78
29878,30.35
29879,26.8
29880,24.62
29881,24.96
29882,22.67
29883,20.14
29884,28.34
29885,97.69
29886,166.54
29887,101.48
29888,69.77
29889,63.58
29890,50.39
29891,42.41
29892,35.11
29893,30.96
29894,27.46
29895,24.54
29896,21.73
29897,19.78
29898,17.9
29899,16.21
29900,14.82
29901,13.37
29902,55.33
29903,68.9
29904,72.78
29905,57.43
29906,49.6
29907,41.38
29908,37.47
29909,42.21
29910,33.25
29911,30.32
29912,34.7
29913,29.74
29914,25.79
29915,24.25
29916,27.59
29917,26.8
29918,22.13
29919,20.58
29920,18.51
29921,18.89
29922,24.39
29923,33.5
29924,25.49
29925,23.44
29926,23.81
29927,29.26
29928,24.53
29929,23.06
29930,21.59
29931,38.43
29932,41.69
29933,33.47
29934,31.53
29935,29.7
29936,30.6
29937,26.74
29938,24.69
29939,30.83
29940,23.77
29941,21.33
29942,20.63
29943,18.99
29944,17.52
29945,23.7
29946,34.58
29947,25.7
29948,24.55
29949,26.83
29950,27.99
29951,28.42
29952,27.37
29953,29.79
29954,26.89
29955,20.65
29956,21.68
29957,22.46
29958,20.54
29959,14.82
29960,14.18
29961,14.03
29962,9.28
29963,9.53
29964,11.19
29965,10.68
29966,7.39
29967,7.23
29968,8.84
29969,9.37
29970,9.42
29971,8.89
29972,7.02
29973,6.59
29974,6.73
29975,7.59
29976,7.44
29977,5.88
29978,5.44
29979,6.35
29980,5.97
29981,5.04
29982,5.05
29983,4.88
29984,5.61
29985,7.45
29986,45.08
29987,31.97
29988,17.17
29989,18.62
29990,17.66
29991,14.83
29992,15.3
29993,14.6
29994,17.77
29995,20.6
29996,12.33
29997,11.41
29998,12.11
29999,19.65
30000,113.88
30001,77.7
30002,53.56
30003,46.32
30004,50.0
30005,109.51
30006,71.25
30007,57.89
30008,46.95
30009,39.33
30010,32.87
30011,28.13
30012,23.52
30013,19.16
30014,17.81
30015,17.03
30016,25.19
30017,67.49
30018,99.21
30019,66.59
30020,58.0
30021,53.14
30022,49.78
30023,40.79
30024,37.81
30025,42.3
30026,51.25
30027,50.83
30028,50.09
30029,58.79
30030,64.84
30031,55.64
30032,46.62
30033,40.68
30034,42.17
30035,53.1
30036,47.79
30037,52.7
30038,44.05
30039,38.91
30040,35.06
30041,43.25
30042,118.44
30043,82.94
30044,73.12
30045,72.42
30046,58.81
30047,50.81
30048,115.9
30049,381.85
30050,162.18
30051,104.28
30052,72.6
30053,60.97
30054,49.07
30055,42.72
30056,38.01
30057,32.82
30058,35.63
30059,28.39
30060,36.7
30061,45.74
30062,66.14
30063,82.84
30064,75.34
30065,69.0
30066,57.22
30067,50.32
30068,49.28
30069,41.26
30070,34.93
30071,30.94
30072,27.97
30073,27.06
30074,25.2
30075,24.4
30076,28.23
30077,21.95
30078,19.73
30079,17.92
30080,16.24
30081,14.87
30082,13.77
30083,12.9
30084,12.34
30085,12.2
30086,13.97
30087,19.08
30088,24.66
30089,16.52
30090,20.0
30091,20.8
30092,17.08
30093,16.71
30094,17.5
30095,14.61
30096,13.48
30097,12.43
30098,11.81
30099,11.73
30100,10.85
30101,9.59
30102,8.65
30103,8.14
30104,11.15
30105,8.52
30106,6.77
30107,5.96
30108,5.56
30109,5.47
30110,7.91
30111,18.17
30112,13.4
30113,8.6
30114,7.28
30115,6.89
30116,6.01
30117,5.41
30118,7.59
30119,7.69
30120,5.88
30121,5.21
30122,4.71
30123,4.39
30124,4.26
30125,19.33
30126,15.18
30127,9.3
30128,7.49
30129,7.16
30130,7.74
30131,6.12
30132,5.3
30133,5.01
30134,9.95
30135,7.27
30136,5.45
30137,4.75
30138,4.94
30139,4.61
30140,4.17
30141,3.78
30142,3.43
30143,3.16
30144,3.34
30145,4.35
30146,4.64
30147,3.81
30148,3.2
30149,2.9
30150,2.93
30151,3.41
30152,3.07
30153,2.67
30154,2.43
30155,2.24
30156,2.21
30157,2.69
30158,2.76
30159,2.41
30160,2.2
30161,2.12
30162,2.14
30163,2.13
30164,1.95
30165,1.9
30166,1.74
30167,1.63
30168,1.98
30169,1.89
30170,2.04
30171,1.86
30172,1.76
30173,1.67
30174,1.57
30175,1.45
30176,1.35
30177,1.3
30178,1.26
30179,1.26
30180,1.25
30181,1.24
30182,1.25
30183,1.25
30184,1.6
30185,1.51
30186,1.65
30187,1.82
30188,2.18
30189,1.95
30190,1.76
30191,1.46
30192,1.29
30193,3.83
30194,8.83
30195,5.01
30196,3.06
30197,2.38
30198,2.16
30199,5.48
30200,19.95
30201,24.96
30202,12.13
30203,7.82
30204,5.85
30205,4.85
30206,4.64
30207,21.33
30208,21.73
30209,13.13
30210,9.68
30211,8.07
30212,6.93
30213,6.74
30214,9.14
30215,8.95
30216,14.29
30217,19.98
30218,12.57
30219,11.24
30220,15.09
30221,13.14
30222,12.61
30223,11.39
30224,9.85
30225,8.9
30226,8.06
30227,7.33
30228,6.76
30229,8.23
30230,9.71
30231,7.95
30232,6.91
30233,6.23
30234,5.75
30235,5.37
30236,5.06
30237,5.12
30238,17.49
30239,15.41
30240,11.44
30241,10.52
30242,11.35
30243,10.24
30244,9.27
30245,8.47
30246,7.9
30247,7.36
30248,7.07
30249,7.22
30250,7.38
30251,7.19
30252,6.59
30253,6.04
30254,5.7
30255,5.5
30256,5.48
30257,5.53
30258,5.15
30259,4.89
30260,4.75
30261,4.66
30262,4.8
30263,4.64
30264,4.36
30265,4.17
30266,5.12
30267,29.76
30268,26.95
30269,21.2
30270,18.61
30271,26.82
30272,31.14
30273,25.55
30274,22.74
30275,20.42
30276,17.74
30277,16.68
30278,15.66
30279,14.31
30280,14.14
30281,14.91
30282,17.94
30283,62.92
30284,44.71
30285,43.77
30286,56.66
30287,42.46
30288,44.02
30289,47.01
30290,37.49
30291,35.54
30292,44.34
30293,38.91
30294,35.41
30295,31.8
30296,30.03
30297,28.98
30298,25.33
30299,22.1
30300,20.1
30301,22.28
30302,25.63
30303,22.58
30304,20.26
30305,18.49
30306,16.97
30307,16.53
30308,109.87
30309,95.45
30310,58.7
30311,48.7
30312,42.16
30313,36.69
30314,32.57
30315,33.13
30316,43.14
30317,52.32
30318,45.64
30319,46.37
30320,58.25
30321,50.29
30322,43.88
30323,40.49
30324,35.72
30325,32.42
30326,29.67
30327,26.61
30328,24.78
30329,44.46
30330,38.33
30331,30.81
30332,27.0
30333,26.34
30334,27.73
30335,32.89
30336,50.35
30337,42.9
30338,36.33
30339,38.19
30340,34.3
30341,31.06
30342,37.58
30343,33.77
30344,29.15
30345,27.31
30346,27.39
30347,27.89
30348,22.88
30349,19.1
30350,17.69
30351,9.94
30352,18.07
30353,20.47
30354,17.04
30355,16.2
30356,16.09
30357,29.02
30358,26.53
30359,20.77
30360,21.17
30361,21.13
30362,20.38
30363,21.03
30364,23.56
30365,24.88
30366,22.14
30367,21.59
30368,21.21
30369,20.45
30370,32.05
30371,49.4
30372,34.01
30373,33.44
30374,31.47
30375,30.78
30376,28.58
30377,28.74
30378,30.77
30379,31.58
30380,28.77
30381,26.96
30382,26.64
30383,23.42
30384,21.29
30385,20.22
30386,21.4
30387,19.01
30388,19.46
30389,22.25
30390,20.34
30391,18.02
30392,24.52
30393,44.1
30394,37.12
30395,32.02
30396,34.1
30397,44.33
30398,73.06
30399,114.39
30400,100.44
30401,97.28
30402,86.83
30403,77.59
30404,66.06
30405,59.25
30406,52.46
30407,75.66
30408,79.9
30409,65.08
30410,56.07
30411,48.99
30412,49.08
30413,45.16
30414,37.61
30415,32.9
30416,29.16
30417,26.44
30418,23.87
30419,21.4
30420,19.37
30421,18.08
30422,24.76
30423,21.26
30424,21.87
30425,18.23
30426,16.42
30427,15.08
30428,14.65
30429,54.51
30430,48.9
30431,42.52
30432,38.52
30433,37.06
30434,31.85
30435,31.7
30436,51.84
30437,152.14
30438,102.39
30439,83.02
30440,73.22
30441,61.7
30442,51.27
30443,44.41
30444,41.78
30445,34.59
30446,29.68
30447,26.01
30448,22.93
30449,20.03
30450,17.38
30451,15.5
30452,14.11
30453,12.75
30454,11.5
30455,10.59
30456,9.93
30457,9.96
30458,9.23
30459,8.46
30460,7.72
30461,7.2
30462,6.61
30463,6.15
30464,5.8
30465,5.38
30466,4.95
30467,4.72
30468,3.94
30469,3.79
30470,4.27
30471,4.42
30472,3.85
30473,3.58
30474,3.42
30475,3.36
30476,3.42
30477,3.57
30478,3.35
30479,3.34
30480,7.66
30481,6.79
30482,6.69
30483,5.71
30484,5.38
30485,5.56
30486,5.16
30487,4.21
30488,3.7
30489,3.23
30490,3.07
30491,3.43
30492,4.17
30493,15.81
30494,27.55
30495,15.72
30496,13.45
30497,10.2
30498,8.55
30499,13.82
30500,51.07
30501,31.08
30502,23.83
30503,18.53
30504,19.13
30505,23.09
30506,18.41
30507,20.94
30508,20.74
30509,14.5
30510,13.74
30511,19.98
30512,41.92
30513,31.89
30514,28.21
30515,23.4
30516,19.34
30517,15.61
30518,14.95
30519,13.16
30520,10.88
30521,11.04
30522,13.99
30523,10.48
30524,11.57
30525,14.52
30526,11.14
30527,13.55
30528,10.46
30529,9.18
30530,7.8
30531,6.95
30532,6.79
30533,7.96
30534,6.83
30535,9.27
30536,21.02
30537,14.82
30538,11.23
30539,9.81
30540,8.55
30541,7.73
30542,6.97
30543,21.58
30544,17.96
30545,11.99
30546,57.93
30547,36.52
30548,26.82
30549,22.31
30550,18.65
30551,15.21
30552,13.27
30553,15.0
30554,13.85
30555,11.03
30556,9.63
30557,9.27
30558,11.47
30559,10.74
30560,8.24
30561,7.15
30562,6.49
30563,6.04
30564,5.66
30565,5.28
30566,5.57
30567,6.95
30568,8.2
30569,7.92
30570,8.09
30571,8.52
30572,11.04
30573,10.25
30574,7.58
30575,6.46
30576,6.01
30577,9.75
30578,9.62
30579,7.59
30580,6.5
30581,5.85
30582,5.64
30583,8.07
30584,14.96
30585,15.53
30586,10.82
30587,9.41
30588,8.86
30589,8.39
30590,7.81
30591,7.14
30592,6.64
30593,6.18
30594,5.81
30595,5.79
30596,20.05
30597,39.38
30598,25.16
30599,21.11
30600,18.1
30601,15.83
30602,13.99
30603,12.81
30604,12.39
30605,11.75
30606,13.84
30607,11.5
30608,10.05
30609,9.28
30610,8.9
30611,9.51
30612,9.55
30613,8.64
30614,7.83
30615,7.41
30616,7.08
30617,6.87
30618,7.79
30619,19.01
30620,25.84
30621,19.38
30622,18.41
30623,17.31
30624,16.24
30625,15.29
30626,14.17
30627,13.97
30628,13.02
30629,12.2
30630,12.19
30631,10.77
30632,9.81
30633,9.15
30634,9.2
30635,9.6
30636,8.73
30637,8.19
30638,9.3
30639,9.19
30640,8.25
30641,7.69
30642,18.77
30643,18.05
30644,14.83
30645,13.89
30646,14.2
30647,47.17
30648,34.91
30649,30.74
30650,28.14
30651,28.12
30652,27.46
30653,35.54
30654,52.73
30655,39.57
30656,36.43
30657,33.47
30658,30.75
30659,28.63
30660,32.59
30661,76.7
30662,52.83
30663,46.78
30664,41.4
30665,37.81
30666,36.16
30667,38.1
30668,273.24
30669,243.22
30670,116.01
30671,81.98
30672,62.43
30673,51.19
30674,45.4
30675,40.62
30676,35.26
30677,37.3
30678,45.69
30679,41.22
30680,41.39
30681,38.53
