$2018-10-19 to 2023-12-31 West Branch Delaware River inflows - m3/s (proportional estimate),
,
JDAY,QIN
28782,30.13
28783,28.54
28784,28.72
28785,24.9
28786,22.42
28787,22.29
28788,20.87
28789,18.85
28790,26.07
28791,41.65
28792,36.76
28793,36.08
28794,33.33
28795,33.59
28796,49.37
28797,83.14
28798,69.76
28799,60.68
28800,68.16
28801,63.44
28802,49.69
28803,46.56
28804,76.2
28805,54.99
28806,47.41
28807,54.43
28808,51.82
28809,40.87
28810,40.95
28811,37.04
28812,32.89
28813,30.82
28814,31.02
28815,29.14
28816,25.08
28817,19.2
28818,22.77
28819,38.32
28820,46.19
28821,70.25
28822,59.06
28823,50.4
28824,44.0
28825,43.46
28826,61.04
28827,79.19
28828,68.98
28829,57.43
28830,49.02
28831,43.54
28832,36.27
28833,33.25
28834,29.96
28835,25.65
28836,24.9
28837,22.03
28838,20.54
28839,22.63
28840,23.85
28841,25.84
28842,21.35
28843,17.48
28844,17.45
28845,64.24
28846,86.66
28847,66.51
28848,56.42
28849,47.84
28850,40.28
28851,35.31
28852,38.84
28853,41.65
28854,33.4
28855,31.2
28856,51.72
28857,41.51
28858,38.14
28859,35.65
28860,38.82
28861,41.42
28862,31.12
28863,29.58
28864,41.71
28865,35.87
28866,28.47
28867,24.48
28868,20.84
28869,16.82
28870,15.72
28871,15.04
28872,13.97
28873,13.09
28874,12.2
28875,11.45
28876,11.17
28877,12.97
28878,16.65
28879,135.95
28880,201.34
28881,100.05
28882,74.98
28883,54.78
28884,39.17
28885,30.08
28886,24.99
28887,23.62
28888,23.32
28889,23.53
28890,29.14
28891,55.73
28892,64.18
28893,81.44
28894,145.19
28895,108.0
28896,77.77
28897,65.26
28898,54.93
28899,50.25
28900,41.92
28901,37.72
28902,40.13
28903,30.68
28904,28.68
28905,23.39
28906,19.09
28907,23.03
28908,22.62
28909,18.08
28910,22.7
28911,38.03
28912,20.17
28913,15.44
28914,14.05
28915,13.17
28916,12.55
28917,12.05
28918,11.46
28919,10.89
28920,10.52
28921,10.25
28922,9.99
28923,9.99
28924,11.26
28925,14.9
28926,16.9
28927,12.46
28928,17.85
28929,61.73
28930,65.31
28931,50.63
28932,42.84
28933,37.29
28934,33.27
28935,33.58
28936,42.21
28937,36.73
28938,31.34
28939,32.53
28940,29.92
28941,27.9
28942,29.2
28943,43.89
28944,56.12
28945,67.67
28946,66.34
28947,57.12
28948,49.6
28949,41.1
28950,36.58
28951,38.98
28952,36.67
28953,35.15
28954,39.27
28955,44.94
28956,37.9
28957,34.77
28958,41.49
28959,39.15
28960,131.51
28961,105.55
28962,79.02
28963,64.67
28964,58.08
28965,122.42
28966,97.26
28967,76.39
28968,65.29
28969,58.76
28970,48.87
28971,49.38
28972,84.52
28973,64.56
28974,59.87
28975,55.99
28976,50.4
28977,44.51
28978,42.42
28979,57.05
28980,50.23
28981,47.97
28982,43.08
28983,40.38
28984,35.06
28985,32.96
28986,32.93
28987,38.61
28988,67.81
28989,97.23
28990,82.89
28991,70.07
28992,60.4
28993,52.43
28994,43.13
28995,86.66
28996,62.12
28997,50.28
28998,43.14
28999,38.35
29000,33.14
29001,34.75
29002,27.13
29003,24.15
29004,26.94
29005,21.98
29006,21.78
29007,14.83
29008,15.19
29009,17.72
29010,13.1
29011,11.71
29012,24.81
29013,18.07
29014,13.15
29015,11.49
29016,10.96
29017,37.2
29018,21.59
29019,21.24
29020,23.45
29021,18.26
29022,32.23
29023,45.53
29024,34.23
29025,34.27
29026,30.28
29027,45.48
29028,36.38
29029,28.36
29030,24.96
29031,23.0
29032,21.18
29033,21.97
29034,15.71
29035,13.47
29036,13.23
29037,11.88
29038,10.34
29039,9.69
29040,8.7
29041,7.81
29042,7.43
29043,7.35
29044,6.54
29045,5.95
29046,5.36
29047,5.41
29048,4.87
29049,4.44
29050,4.17
29051,4.02
29052,4.05
29053,5.48
29054,7.66
29055,6.64
29056,7.38
29057,5.49
29058,6.07
29059,14.86
29060,8.66
29061,5.95
29062,4.95
29063,4.37
29064,3.98
29065,3.79
29066,3.62
29067,3.88
29068,3.43
29069,3.13
29070,2.97
29071,5.45
29072,4.83
29073,5.29
29074,6.97
29075,5.66
29076,5.44
29077,4.7
29078,4.02
29079,3.46
29080,3.15
29081,3.31
29082,3.08
29083,3.44
29084,3.8
29085,5.5
29086,6.31
29087,4.28
29088,3.88
29089,4.93
29090,4.07
29091,3.43
29092,3.05
29093,2.76
29094,2.61
29095,2.47
29096,2.4
29097,2.27
29098,2.18
29099,2.04
29100,3.25
29101,4.23
29102,3.36
29103,2.91
29104,2.57
29105,2.28
29106,2.11
29107,1.98
29108,1.87
29109,1.8
29110,2.23
29111,2.04
29112,1.84
29113,1.77
29114,1.71
29115,1.64
29116,1.54
29117,1.48
29118,1.41
29119,1.35
29120,1.31
29121,1.28
29122,1.5
29123,1.42
29124,1.43
29125,1.53
29126,1.46
29127,1.39
29128,1.32
29129,1.37
29130,1.45
29131,2.27
29132,3.92
29133,3.24
29134,2.44
29135,6.25
29136,12.83
29137,7.16
29138,4.94
29139,4.06
29140,3.48
29141,3.21
29142,2.83
29143,2.64
29144,7.8
29145,91.8
29146,68.62
29147,43.47
29148,32.3
29149,26.97
29150,22.44
29151,35.98
29152,26.46
29153,21.56
29154,19.35
29155,30.44
29156,35.93
29157,27.29
29158,24.69
29159,42.09
29160,207.79
29161,101.24
29162,71.28
29163,53.95
29164,43.44
29165,36.06
29166,31.47
29167,30.69
29168,25.39
29169,23.0
29170,21.21
29171,20.01
29172,17.58
29173,15.27
29174,14.66
29175,14.18
29176,12.17
29177,12.27
29178,26.21
29179,26.1
29180,20.93
29181,21.91
29182,24.53
29183,28.84
29184,32.24
29185,30.63
29186,29.89
29187,38.29
29188,34.54
29189,31.12
29190,31.21
29191,31.22
29192,28.93
29193,26.42
29194,24.39
29195,22.05
29196,20.35
