$2018-10-19 to 2023-12-31 Trout Creek inflows - m3/s (proportional estimate),
,
JDAY,QIN
28782,1.8
28783,1.71
28784,1.72
28785,1.49
28786,1.34
28787,1.33
28788,1.25
28789,1.13
28790,1.56
28791,2.49
28792,2.2
28793,2.16
28794,1.99
28795,2.01
28796,2.95
28797,4.98
28798,4.17
28799,3.63
28800,4.08
28801,3.8
28802,2.97
28803,2.79
28804,4.56
28805,3.29
28806,2.84
28807,3.26
28808,3.1
28809,2.45
28810,2.45
28811,2.22
28812,1.97
28813,1.84
28814,1.86
28815,1.74
28816,1.5
28817,1.15
28818,1.36
28819,2.29
28820,2.76
28821,4.2
28822,3.53
28823,3.02
28824,2.63
28825,2.6
28826,3.65
28827,4.74
28828,4.13
28829,3.44
28830,2.93
28831,2.61
28832,2.17
28833,1.99
28834,1.79
28835,1.53
28836,1.49
28837,1.32
28838,1.23
28839,1.35
28840,1.43
28841,1.55
28842,1.28
28843,1.05
28844,1.04
28845,3.84
28846,5.19
28847,3.98
28848,3.38
28849,2.86
28850,2.41
28851,2.11
28852,2.32
28853,2.49
28854,2.0
28855,1.87
28856,3.09
28857,2.48
28858,2.28
28859,2.13
28860,2.32
28861,2.48
28862,1.86
28863,1.77
28864,2.5
28865,2.15
28866,1.7
28867,1.47
28868,1.25
28869,1.01
28870,0.94
28871,0.9
28872,0.84
28873,0.78
28874,0.73
28875,0.69
28876,0.67
28877,0.78
28878,1.0
28879,8.14
28880,12.05
28881,5.99
28882,4.49
28883,3.28
28884,2.34
28885,1.8
28886,1.5
28887,1.41
28888,1.4
28889,1.41
28890,1.74
28891,3.34
28892,3.84
28893,4.87
28894,8.69
28895,6.46
28896,4.65
28897,3.91
28898,3.29
28899,3.01
28900,2.51
28901,2.26
28902,2.4
28903,1.84
28904,1.72
28905,1.4
28906,1.14
28907,1.38
28908,1.35
28909,1.08
28910,1.36
28911,2.28
28912,1.21
28913,0.92
28914,0.84
28915,0.79
28916,0.75
28917,0.72
28918,0.69
28919,0.65
28920,0.63
28921,0.61
28922,0.6
28923,0.6
28924,0.67
28925,0.89
28926,1.01
28927,0.75
28928,1.07
28929,3.69
28930,3.91
28931,3.03
28932,2.56
28933,2.23
28934,1.99
28935,2.01
28936,2.53
28937,2.2
28938,1.88
28939,1.95
28940,1.79
28941,1.67
28942,1.75
28943,2.63
28944,3.36
28945,4.05
28946,3.97
28947,3.42
28948,2.97
28949,2.46
28950,2.19
28951,2.33
28952,2.19
28953,2.1
28954,2.35
28955,2.69
28956,2.27
28957,2.08
28958,2.48
28959,2.34
28960,7.87
28961,6.32
28962,4.73
28963,3.87
28964,3.48
28965,7.33
28966,5.82
28967,4.57
28968,3.91
28969,3.52
28970,2.92
28971,2.96
28972,5.06
28973,3.86
28974,3.58
28975,3.35
28976,3.02
28977,2.66
28978,2.54
28979,3.41
28980,3.01
28981,2.87
28982,2.58
28983,2.42
28984,2.1
28985,1.97
28986,1.97
28987,2.31
28988,4.06
28989,5.82
28990,4.96
28991,4.19
28992,3.61
28993,3.14
28994,2.58
28995,5.19
28996,3.72
28997,3.01
28998,2.58
28999,2.29
29000,1.98
29001,2.08
29002,1.62
29003,1.45
29004,1.61
29005,1.32
29006,1.3
29007,0.89
29008,0.91
29009,1.06
29010,0.78
29011,0.7
29012,1.48
29013,1.08
29014,0.79
29015,0.69
29016,0.66
29017,2.23
29018,1.29
29019,1.27
29020,1.4
29021,1.09
29022,1.93
29023,2.72
29024,2.05
29025,2.05
29026,1.81
29027,2.72
29028,2.18
29029,1.7
29030,1.49
29031,1.38
29032,1.27
29033,1.31
29034,0.94
29035,0.81
29036,0.79
29037,0.71
29038,0.62
29039,0.58
29040,0.52
29041,0.47
29042,0.44
29043,0.44
29044,0.39
29045,0.36
29046,0.32
29047,0.32
29048,0.29
29049,0.27
29050,0.25
29051,0.24
29052,0.24
29053,0.33
29054,0.46
29055,0.4
29056,0.44
29057,0.33
29058,0.36
29059,0.89
29060,0.52
29061,0.36
29062,0.3
29063,0.26
29064,0.24
29065,0.23
29066,0.22
29067,0.23
29068,0.21
29069,0.19
29070,0.18
29071,0.33
29072,0.29
29073,0.32
29074,0.42
29075,0.34
29076,0.33
29077,0.28
29078,0.24
29079,0.21
29080,0.19
29081,0.2
29082,0.18
29083,0.21
29084,0.23
29085,0.33
29086,0.38
29087,0.26
29088,0.23
29089,0.3
29090,0.24
29091,0.21
29092,0.18
29093,0.17
29094,0.16
29095,0.15
29096,0.14
29097,0.14
29098,0.13
29099,0.12
29100,0.19
29101,0.25
29102,0.2
29103,0.17
29104,0.15
29105,0.14
29106,0.13
29107,0.12
29108,0.11
29109,0.11
29110,0.13
29111,0.12
29112,0.11
29113,0.11
29114,0.1
29115,0.1
29116,0.09
29117,0.09
29118,0.08
29119,0.08
29120,0.08
29121,0.08
29122,0.09
29123,0.08
29124,0.09
29125,0.09
29126,0.09
29127,0.08
29128,0.08
29129,0.08
29130,0.09
29131,0.14
29132,0.23
29133,0.19
29134,0.15
29135,0.37
29136,0.77
29137,0.43
29138,0.3
29139,0.24
29140,0.21
29141,0.19
29142,0.17
29143,0.16
29144,0.47
29145,5.49
29146,4.11
29147,2.6
29148,1.93
29149,1.61
29150,1.34
29151,2.15
29152,1.58
29153,1.29
29154,1.16
29155,1.82
29156,2.15
29157,1.63
29158,1.48
29159,2.52
29160,12.43
29161,6.06
29162,4.27
29163,3.23
29164,2.6
29165,2.16
29166,1.88
29167,1.84
29168,1.52
29169,1.38
29170,1.27
29171,1.2
29172,1.05
29173,0.91
29174,0.88
29175,0.85
29176,0.73
29177,0.73
29178,1.57
29179,1.56
29180,1.25
29181,1.31
29182,1.47
29183,1.73
29184,1.93
29185,1.83
29186,1.79
29187,2.29
29188,2.07
29189,1.86
29190,1.87
29191,1.87
29192,1.73
29193,1.58
29194,1.46
29195,1.32
29196,1.22
