JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28809.000,    37.737,   343.545,     4.027,     0.003,     0.000,     0.000,     0.250,    37.025,   683.800,     1.000,     0.000,     4.027,  -164.968,     0.000,   243.870,   325.220,    41.237,    42.380,     0.000,         0.000,
 28810.000,   781.225,   343.551,     3.878,     0.003,     0.000,     0.000,     0.250,    37.031,   683.800,     1.000,     0.000,     3.956,  -134.941,     0.000,   251.275,   324.214,    28.933,    33.069,     0.000,         0.000,
 28811.000,   118.300,   343.544,     3.687,     0.003,     0.000,     0.000,     0.250,    37.024,   683.800,     1.000,     0.000,     3.841,  -104.885,     0.000,   259.138,   322.579,    30.078,    11.366,     0.000,         0.000,
 28812.000,   809.459,   343.517,     3.912,     0.003,     0.000,     0.000,     0.250,    36.997,   669.700,     1.000,     0.000,     3.879,  -103.347,     0.000,   255.433,   320.625,    22.870,    15.285,     0.000,         0.000,
 28813.000,  1034.086,   343.469,     3.955,     0.003,     0.000,     0.000,     0.250,    36.949,   669.700,     1.000,     0.000,     3.943,   -87.709,     0.000,   265.430,   323.632,    16.323,    13.184,     0.000,         0.000,
 28814.000,  1024.157,   343.413,     3.973,     0.003,     0.000,     0.000,     0.250,    36.893,   669.700,     1.000,     0.000,     3.949,   -80.520,     0.000,   265.196,   322.396,    12.995,    10.325,     0.000,         0.000,
 28815.000,   410.208,   343.353,     3.718,     0.003,     0.000,     0.000,     0.250,    36.833,   669.700,     1.000,     0.000,     3.861,  -150.264,     0.000,   229.714,   318.643,    32.040,    29.296,     0.000,         0.000,
 28816.000,   531.009,   343.276,     2.749,     0.003,     0.000,     0.000,     0.250,    36.756,   669.700,     1.000,     0.000,     3.687,  -243.718,     0.000,   222.069,   313.006,    58.521,    94.259,     0.000,         0.000,
 28817.000,   433.292,   343.171,     3.570,     0.003,     0.000,     0.000,     0.250,    36.651,   669.700,     1.000,     0.000,     3.829,  -249.318,     0.000,   193.491,   318.560,    43.171,    81.078,     0.000,         0.000,
 28818.000,  1038.715,   343.059,     4.000,     0.003,     0.000,     0.000,     0.250,    36.539,   669.700,     1.000,     0.000,     3.980,  -196.613,     0.000,   228.947,   322.631,    50.460,    52.468,     0.000,         0.000,
 28819.000,  1283.577,   343.003,     3.999,     0.003,     0.000,     0.000,     0.250,    36.483,   669.700,     1.000,     0.000,     3.983,   -59.497,     0.000,   274.469,   323.911,     8.086,     1.970,     0.000,         0.000,
 28820.000,   299.617,   343.018,     3.972,     0.003,     0.000,     0.000,     0.250,    36.498,   669.700,     1.000,     0.000,     3.967,   -73.034,     0.000,   263.972,   323.591,     9.401,     4.013,     0.000,         0.000,
 28821.000,   994.314,   343.125,     3.852,     0.003,     0.000,     0.000,     0.250,    36.605,   669.700,     1.000,     0.000,     3.864,   -76.080,     0.000,   268.758,   323.148,    12.533,     9.157,     0.000,         0.000,
 28822.000,   489.325,   343.270,     3.511,     0.003,     0.000,     0.000,     0.250,    36.750,   669.700,     1.000,     0.000,     3.532,  -140.423,     0.000,   256.492,   318.864,    40.057,    37.994,     0.000,         0.000,
 28823.000,   430.395,   343.357,     2.996,     0.003,     0.000,     0.000,     0.250,    36.837,   669.700,     1.000,     0.000,     3.027,  -112.592,     0.000,   260.117,   319.428,    30.516,    22.765,     0.000,         0.000,
