JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28782.000,  2636.681,   342.897,     3.000,     0.003,     8.675,     0.000,     0.250,    26.377,   421.500,     1.000,     0.000,     3.000,  -106.582,     0.000,   236.517,   320.429,    23.751,    -1.081,     0.000,         0.000,
 28783.000,   750.210,   342.837,     3.086,     0.031,     5.109,     0.000,     0.250,    26.317,   421.500,     1.000,     0.000,     3.084,    23.165,     0.000,   292.557,   320.819,    -7.505,   -43.923,     0.000,         0.000,
 28784.000,   563.843,   342.770,     3.235,     0.041,     6.258,     0.000,     0.250,    26.250,   421.500,     1.000,     0.000,     3.220,   -71.848,     0.000,   268.785,   320.787,    23.270,    -3.424,     0.000,         0.000,
 28785.000,   601.350,   342.693,     3.154,     0.034,     5.083,     0.000,     0.250,    26.173,   421.500,     1.000,     0.000,     3.135,   -86.914,     0.000,   259.325,   320.040,    21.753,     4.446,     0.000,         0.000,
 28786.000,   449.809,   342.598,     3.368,     0.012,     0.605,     0.000,     0.250,    26.078,   421.500,     1.000,     0.000,     3.345,   -46.604,     0.000,   266.833,   320.761,    10.991,   -18.316,     0.000,         0.000,
 28787.000,   504.196,   342.493,     3.416,     0.037,     4.746,     0.000,     0.250,    25.973,   401.600,     1.000,     0.000,     3.396,   -45.448,     0.000,   274.516,   321.374,    10.134,   -11.543,     0.000,         0.000,
 28788.000,   238.175,   342.381,     3.404,     0.043,     1.438,     0.000,     0.250,    25.861,   401.600,     1.000,     0.000,     3.375,   -87.734,     0.000,   258.817,   320.934,    20.182,     5.436,     0.000,         0.000,
 28789.000,   729.919,   342.259,     3.297,     0.033,     5.865,     0.000,     0.250,    25.739,   401.600,     1.000,     0.000,     3.280,   -93.501,     0.000,   255.719,   320.597,    20.158,     8.465,     0.000,         0.000,
 28790.000,   791.700,   342.153,     3.413,    -0.025,     5.755,     0.000,     0.250,    25.633,   401.600,     1.000,     0.000,     3.303,   -62.900,     0.000,   271.787,   319.246,    15.064,     0.377,     0.000,         0.000,
 28791.000,   191.874,   342.117,     3.574,    -0.018,    -2.948,     0.000,     0.250,    25.597,   401.600,     1.000,     0.000,     3.455,   -41.322,     0.000,   277.472,   319.722,     2.371,    -3.300,     0.000,         0.000,
 28792.000,  1533.242,   342.113,     3.579,     0.005,     1.438,     0.000,     0.250,    25.593,   401.600,     1.000,     0.000,     3.524,   -26.789,     0.000,   280.609,   321.895,    -2.830,   -11.666,     0.000,         0.000,
 28793.000,   444.582,   342.092,     3.672,     0.031,     1.145,     0.000,     0.250,    25.572,   401.600,     1.000,     0.000,     3.643,   -83.543,     0.000,   249.365,   321.021,    19.045,    -7.159,     0.000,         0.000,
 28794.000,   473.757,   342.061,     3.788,     0.027,     0.968,     0.000,     0.250,    25.541,   401.600,     1.000,     0.000,     3.758,   -78.514,     0.000,   246.206,   321.295,    13.248,    -9.824,     0.000,         0.000,
 28795.000,  1211.611,   342.022,     3.912,     0.024,     4.326,     0.000,     0.250,    25.502,   401.600,     1.000,     0.000,     3.912,    57.533,     0.000,   319.334,   324.678,   -29.248,   -33.629,     0.000,         0.000,
