JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28952.000,  1402.292,   347.381,     2.682,    -0.003,     1.645,     0.000,     0.250,    30.861,   477.700,     1.000,     0.009,     3.071,    19.757,     0.000,   276.690,   307.138,    -7.900,   -42.304,     0.000,         0.000,
 28953.000,   990.255,   347.443,     3.020,    -0.038,    -0.346,     0.000,     0.250,    30.923,   477.700,     1.000,     0.000,     3.280,   115.847,     0.000,   338.985,   320.517,   -35.148,   -62.231,     0.000,         0.000,
 28954.000,   960.132,   347.522,     3.412,    -0.148,    -3.247,     0.000,     0.250,    31.002,   486.200,     1.000,     0.000,     3.534,    29.545,     0.000,   297.959,   322.342,   -18.900,   -35.029,     0.000,         0.000,
 28955.000,   682.635,   347.636,     3.538,    -0.294,    -6.497,     0.000,     0.250,    31.116,   486.200,     1.000,     0.000,     3.657,   -77.335,     0.000,   255.045,   322.955,    22.930,   -13.505,     0.000,         0.000,
 28956.000,   708.673,   347.750,     5.111,    -0.150,    -4.023,     0.000,     0.250,    31.230,   486.200,     1.000,     0.000,     4.116,  -124.267,     0.000,   261.274,   330.424,    40.789,    14.329,     0.000,         0.000,
 28957.000,   657.747,   347.819,     4.236,     0.167,    -0.639,     0.000,     0.250,    31.299,   486.200,     1.000,     0.000,     4.139,   -30.377,     0.000,   295.792,   326.207,    26.907,   -26.946,     0.000,         0.000,
 28958.000,   846.194,   347.863,     4.403,    -0.018,    -0.270,     0.000,     0.250,    31.343,   486.200,     1.000,     0.000,     4.090,   119.267,     0.000,   344.693,   326.967,   -37.162,   -64.379,     0.000,         0.000,
 28959.000,   257.562,   347.878,     4.534,     0.035,   -11.009,     0.000,     0.250,    31.358,   486.200,     1.000,     0.000,     4.190,    30.972,     0.000,   327.078,   327.609,     5.230,   -36.733,     0.000,         0.000,
 28960.000,   823.517,   348.084,     4.806,    -0.034,   -24.326,     0.000,     0.250,    31.564,   486.200,     1.000,     0.000,     4.440,    65.033,     0.000,   316.329,   328.848,   -35.363,   -42.189,     0.000,         0.000,
 28961.000,   130.208,   348.386,     5.127,    -0.415,    -6.368,     0.000,     0.250,    31.866,   486.200,     1.000,     0.000,     4.834,  -165.136,     0.000,   244.161,   330.406,    71.118,     7.773,     0.000,         0.000,
 28962.000,   150.725,   348.481,     6.277,    -0.176,     3.590,     0.000,     0.250,    31.961,   486.200,     1.000,     0.000,     5.297,  -111.083,     0.000,   261.413,   339.425,    33.468,    -0.396,     0.000,         0.000,
 28963.000,   164.943,   348.472,     6.047,    -0.062,     2.434,     0.000,     0.250,    31.952,   486.200,     1.000,     0.000,     5.298,   -36.442,     0.000,   299.436,   335.528,    30.788,   -30.438,     0.000,         0.000,
 28964.000,    14.936,   348.436,     5.869,     0.064,     4.930,     0.000,     0.250,    31.916,   486.200,     1.000,     0.000,     5.488,   152.654,     0.000,   343.188,   334.593,   -61.879,   -82.180,     0.000,         0.000,
 28965.000,   128.606,   348.522,     6.559,     0.097,   -10.603,     0.000,     0.250,    32.002,   495.700,     1.000,     0.000,     5.554,   228.591,     0.000,   361.037,   338.236,  -114.500,   -91.290,     0.000,         0.000,
 28966.000,   149.056,   348.622,     8.457,    -0.001,     3.037,     0.000,     0.250,    32.102,   495.700,     1.000,     0.000,     6.793,     9.609,     0.000,   314.087,   346.513,   -13.866,   -28.170,     0.000,         0.000,
