datetime,sim_total_release_mgd,sim_inflow_mgd,sim_storage_mg,obs_inflow_mgd,obs_release_mgd,obs_storage_mg
1/1/1945,55.504144829186814,2182.882,78474.48285118515,,,
1/2/1945,54.9368421,2365.6213,80519.54429769272,,,
1/3/1945,54.9368421,1388.1621000000002,81612.22925214173,,,
1/4/1945,387.7894737,1150.1792000000003,82078.23016034462,,,
1/5/1945,1484.304705849671,855.3919699999999,81449.27300596047,,,
1/6/1945,387.7894737,614.6839599999998,81535.2068,,,
1/7/1945,387.7894737,577.4847399999999,81607.93232907902,,,
1/8/1945,758.6949511654309,571.3262299999999,81132.07080861229,,,
1/9/1945,54.9368421,494.0642000000001,81206.07448551051,,,
1/10/1945,54.9368421,390.8808000000001,81200.73950980687,,,
1/11/1945,54.9368421,374.84845000000007,81192.49745641273,,,
1/12/1945,54.9368421,362.45407000000006,81141.93665,,,
1/13/1945,54.9368421,377.79016000000007,81093.15761169256,,,
1/14/1945,54.9368421,332.35780000000005,81005.62909078116,,,
1/15/1945,54.9368421,308.3123800000001,80891.50235363933,,,
1/16/1945,54.9368421,284.89832000000007,80748.84222,,,
1/17/1945,54.9368421,263.9508000000001,80588.89403279507,,,
1/18/1945,54.9368421,250.48802,80461.6266,,,
1/19/1945,54.9368421,239.77269,80348.89158072567,,,
1/20/1945,54.9368421,231.22205,80231.97872466812,,,
1/21/1945,54.9368421,222.34163,80107.44458636537,,,
1/22/1945,54.9368421,218.94713,79981.75312477973,,,
1/23/1945,54.9368421,233.33875,79859.38611,,,
1/24/1945,54.9368421,216.51529,79721.51841102506,,,
1/25/1945,54.9368421,180.23125,79546.39666537591,,,
1/26/1945,54.9368421,213.84143,79406.93086884126,,,
1/27/1945,54.9368421,201.58292,79254.37361128074,,,
1/28/1945,54.9368421,194.67487,79094.74811357622,,,
1/29/1945,54.9368421,193.56561,78932.72989499835,,,
1/30/1945,54.9368421,190.18283,78766.02773922513,,,
1/31/1945,54.9368421,186.70943,78594.60483,,,
2/1/1945,54.9368421,179.17319,78531.76603540346,,,
