$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,0,0,0,0,118,261.7,287.4,240.2,334.8,423.6,467.8,522,564,650.1,928.3,1166,1048.2,1481.4,991,709.6,570.4,864,692.4,525.7,657.4,0,0,0,0,0,0,0,0,38.1,76.2,108,135.4,98.6,163.8,131.3,287.4,217.2,235.4,263,426.1,669.7,762.6,955.3,886.5,859,678.7,548.3,683.2,501.2,401.6,0
1,0,0,0,0,40.7,251.8,276.6,220.9,314.7,416.4,459,515.4,557.1,639.4,914.6,1153.7,1037.2,1453.4,979.7,698.5,557.3,857.2,687.3,518.6,648.5,0,0,0,0,0,0,0,0,0,50,89.6,125,95.3,157.2,124.1,274,209.2,228.5,255.3,413.6,659.5,735.5,929.8,871.8,835.2,669.2,536.6,671.9,494.2,373.8,0
1,0,0,0,0,0,206,265.6,203,291.7,411.3,451.5,507.8,548,628.1,900.5,1139,1025.8,1427,967.8,686.9,545.8,850.4,683.5,511.8,633.6,0,0,0,0,0,0,0,0,0,0,65.7,108.3,91.5,149.9,116.8,262.4,202.1,220.5,246.8,400.7,632.7,701.8,901.9,855.2,807,660,523.6,659.4,486.5,354.2,0
1,0,0,0,0,0,138.2,254.6,188.7,263,406,445.5,500.1,539.6,615.7,886.7,1115.8,1014.3,1399.9,956.7,675.2,534.3,844.7,679.2,502.9,621.9,0,0,0,0,0,0,0,0,0,0,38.4,75.7,86.2,141.2,110.7,251.8,195,211.9,240,383.9,551.9,673.7,873.9,834.5,774.4,650.4,510.2,645.9,480,342.1,0
1,0,0,0,0,0,76.5,241,174.8,235.7,400.5,437.5,491.7,530.1,604.4,872.3,1093.9,1002.4,1372.3,944.8,662.4,522.4,838.1,674.5,495.6,613.1,0,0,0,0,0,0,0,0,0,0,0,61.4,77.3,131.1,102.3,240.1,187.3,203.1,231.4,355.3,454.7,639.3,841.9,809.8,741.4,640.5,494.8,632.5,472.5,334.1,0
1,0,0,0,0,0,0,197.4,156,202.5,394.2,430.1,482.9,523.7,592.9,857.7,1073.4,990,1340.5,931.8,651,510.6,830.4,669.9,487.7,600.4,0,0,0,0,0,0,0,0,0,0,0,0,64.1,106,93,227.8,178.6,194,224,333.3,387.7,593.6,806.3,786.1,709,631.1,480.9,618.2,464.3,328.6,0
1,0,0,0,0,0,0,80.3,129.2,171.1,388.2,420.6,472.9,513.1,580.6,842.7,1053.7,978.3,1304.7,919.1,637.9,498.6,823.3,664.6,479.8,587,0,0,0,0,0,0,0,0,0,0,0,0,23.3,69.6,79.3,203.2,168,183.8,216.5,324.4,360.7,536.9,755.1,760.4,676,621.8,466.9,603,456.4,321.3,0
1,0,0,0,0,0,0,0,66.2,139.3,383.4,413.2,462.5,505.9,567.2,827.5,1035,965,1263.4,906.1,623.9,487.1,815.4,659.8,472,577.5,0,0,0,0,0,0,0,0,0,0,0,0,0,31,61.2,140.1,136.6,171.4,208.9,315,343.8,493.3,652.6,731.9,645.6,611.7,453,589.2,449.5,312.3,0
1,0,0,0,0,0,0,0,0,102.4,376.5,405.2,452.1,495.4,552.7,812.6,1014,951.7,1224.3,894.1,609.2,475.4,806.5,655,464,564.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3,90.4,78,121.1,199.6,303.8,332,435.7,521.3,664.5,617.6,599.4,438.1,574,441.4,306.3,0
1,0,0,0,0,0,0,0,0,66.9,370.8,396.5,437.6,489.4,534.8,795.5,992.6,936.9,1184.8,881.3,593.9,463.9,796.1,649.2,456.5,550.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,78,69.7,156.9,255.1,324.3,399.1,412.8,522.4,585.8,585.4,421.7,557.2,434.4,300.5,0
